Sale-Price,Purchase-Date,Purchase-Price,Type,Class,Location,Shape,U-Index,Proximity,N-Rank,P-Chance,Built,Renovate,Access,Crime-Rate,C-Rating,Gov-Index,Contour,Garage,Swimming
10398.5,February-84,11655.4,flat,commercial,Outskirts,rectangle,4,67746,7,0.2094349148335145,1979,0.0,highway,90,2,8,NA,Yes,NA
11691.6,Jul-1975,10868.2,open land,commercial,Center,rectangle,5,3967mts,3,0.43807930192792777,1963,,alley,75,4,8,F,NA,NA
18412.3,Apr-2008,8381.5,flat,residential,Center,irregular,3,11347,8,0.5125640289379277,2000,0.0,street,84,1,3,NA,Yes,NA
9851.7,January-2008,1287.2,flat,residential,Center,irregular,4,15719mts,8,0.16733032112040536,1997,2006.0,alley,61,1,3,NA,No,NA
9952.5,May-1990,2396.7,open land,residential,Outskirts,trapezoid,3,64441,8,0.571759330090057,1984,,highway,88,3,4,F,NA,NA
9970.3,February-1996,4423.5,duplex,commercial,Outskirts,irregular,1,75301,3,0.6314962272943886,1981,1990.0,highway,6,2,4,NA,Yes,NA
3468.8,March-1978,8702.6,villa,residential,Center,irregular,3,12449,3,0.8580095550235798,1977,0.0,street,52,5,1,NA,Yes,Yes
10685.2,January-2006,4028.4,land,residential,Center,irregular,3,21828,6,0.21231665607525396,1987,,street,76,5,3,C,NA,NA
3005.7,January-98,6163.6,villa,residential,Border,rectangle,4,32735mts,9,0.2105848028898436,1996,0.0,street,90,3,2,NA,Yes,Yes
17470.0,April-1996,5127.7,flat,commercial,Outskirts,rectangle,1,79331,9,0.557725737617445,1978,1989.0,highway,45,1,2,NA,No,NA
19048.6,April-1996,7334.3,duplex,commercial,Center,rectangle,2,9368,3,0.5221683395405807,1980,1988.0,alley,90,2,6,NA,Yes,NA
10117.7,June-92,9303.4,flat,commercial,Outskirts,irregular,5,60531,3,0.5627124667892756,1975,1983.0,highway,68,3,8,NA,Yes,NA
10650.7,September-1976,4328.6,flat,commercial,Center,rectangle,4,17773mts,3,0.7566830788175952,1966,1974.0,street,58,3,1,NA,Yes,NA
2515.3,August-2004,1324.3,villa,residential,Border,irregular,2,28242,2,0.9274322286350708,2001,0.0,street,73,1,5,NA,Yes,Yes
10754.5,April-1998,9401.8,villa,residential,Outskirts,irregular,5,55610,8,0.22214854783603133,1987,1996.0,highway,33,4,5,,Yes,Yes
10769.6,May-2009,6267.8,land,industrial,Outskirts,rectangle,5,68916,7,0.9437696283813378,1996,0.0,highway,37,3,4,F,NA,NA
2943.1,June-1984,11313.6,villa,residential,Border,trapezoid,5,32841,9,0.5133420498982381,1976,0.0,highway,17,2,4,NA,Yes, No
10916.8,September-1990,6270.7,flat,commercial,Center,trapezoid,4,25115mts,8,0.3925606612181245,1982,0.0,street,9,4,1,NA,Yes,
2910.2,September-1982,9084.9,villa,residential,Border,rectangle,3,27623,5,0.926708714846587,1972,1980.0,highway,35,2,5,NA,Yes, No
10987.1,November-1970,9399.3,open land,residential,Center,trapezoid,5,10791,9,0.12138026754429398,1966,0.0,alley,37,1,8,C,NA,NA
9583.9,November-2005,7887.6,flat,commercial,Outskirts,irregular,1,50529,1,0.142388982288275,1999,0.0,highway,88,1,3,NA,No,
3321.4,March-1993,1038.9,villa,residential,Center,rectangle,5,11236mts,4,0.3883812170448808,1981,1990.0,alley,85,2,3,NA,Yes,Yes
10220.7,Feb-1977,10604.5,flat,commercial,Border,trapezoid,5,39138mts,9,0.7763788024032182,1966,1974.0,highway,29,1,8,NA,Yes,NA
11377.6,November-1998,7697.3,open land,industrial,Center,rectangle,2,18747,10,0.9300377452500704,1991,0.0,street,38,1,8,F,NA,
10265.7,July-2003,2581.7,flat,residential,Center,trapezoid,2,9866,1,0.1661287290027309,1995,0.0,alley,85,3,6,NA,No,NA
2775.0,October-1979,7003.2,villa,residential,Outskirts,trapezoid,2,56236mts,1,0.9153901017273998,1964,1974.0,highway,49,4,2,NA,Yes,Yes
10009.5,November-2002,1243.9,duplex,commercial,Border,rectangle,4,39575,10,0.7024024237942256,1993,0.0,highway,75,2,6,NA,Yes,
10804.6,September-2006,2459.8,open land,industrial,Center,trapezoid,3,4194,9,0.4113834527624842,1990,0.0,alley,93,3,4,C,NA,NA
3896.2,Dec-2000,6937.5,villa,residential,Center,rectangle,5,9576,3,0.6737814036667316,1996,0.0,alley,85,4,4,NA,Yes, No
10735.8,December-1984,7382.2,open land,commercial,Border,rectangle,1,32222mts,4,0.5490294022756482,1982,0.0,highway,1,2,6,F,NA,NA
11654.1,January-73,9433.2,land,commercial,Center,rectangle,5,10954,2,0.24303154824785655,1957,0.0,alley,15,3,9,F,NA,
10892.6,Aug-1980,3502.0,duplex,commercial,Center,trapezoid,1,17557,1,0.9378190338036612,1965,1975.0,street,17,5,7,NA,Yes,
9969.1,May-1990,4745.9,duplex,commercial,Border,trapezoid,5,32409,2,0.3929847695927511,1973,1984.0,street,54,5,2,,No,
10726.9,June-1975,10755.7,flat,residential,Center,trapezoid,2,11462,10,0.6512823694379404,1964,1975.0,alley,62,1,6,NA,Yes,NA
9325.8,August-70,7051.4,duplex,residential,Border,trapezoid,5,30280,10,0.8736679904540039,1952,1962.0,highway,75,3,3,NA,No,NA
9923.6,August-1974,9188.1,land,commercial,Border,irregular,1,36247,7,0.6648284195726641,1960,0.0,highway,54,1,1,C,NA,NA
2674.2,May-1983,11556.5,villa,residential,Outskirts,irregular,4,52670,3,0.8548385517104486,1968,1976.0,highway,96,1,4,,Yes,Yes
11093.2,September-1994,3691.8,open land,residential,Center,rectangle,5,24301mts,10,0.019856676851568666,1988,0.0,alley,13,4,1,C,NA,NA
17598.8,April-93,9529.6,duplex,commercial,Outskirts,irregular,2,71053mts,8,0.8634918296981794,1983,1994.0,highway,89,1,10,NA,No,NA
9959.0,December-1982,5812.9,duplex,commercial,Border,trapezoid,2,31939,5,0.5210547444030632,1982,0.0,highway,18,5,9,,No,NA
9650.1,Nov-2005,2088.5,flat,commercial,Border,irregular,1,38560mts,9,0.7648075875942063,2000,0.0,highway,76,3,5,NA,Yes,
10498.3,Dec-2007,11279.9,duplex,residential,Border,irregular,3,23606mts,1,0.799592233709531,1988,1996.0,street,55,1,8,,Yes,NA
8884.3,July-1978,834.2,duplex,residential,Outskirts,irregular,1,78900,6,0.7874781491242339,1972,0.0,highway,68,4,2,,No,
10218.0,September-2007,4601.2,open land,residential,Outskirts,irregular,4,74411,3,0.1407952970311679,1996,0.0,highway,57,4,4,F,NA,NA
2686.0,September-1998,3732.2,villa,residential,Border,trapezoid,4,21574,5,0.7823297180322134,1985,1994.0,highway,86,4,5,NA,Yes,Yes
9708.9,December-1985,2727.5,open land,residential,Border,irregular,5,39417mts,10,0.29032194609674455,1985,,street,87,2,7,C,NA,
10637.5,November-05,2428.9,open land,residential,Center,irregular,4,18661mts,9,0.00866252931487932,1987,0.0,street,45,4,1,F,NA,NA
3099.7,Feb-1971,7604.2,villa,residential,Center,trapezoid,5,24376,6,0.6612314511655709,1963,0.0,street,85,1,1,NA,Yes, No
10133.9,February-1978,8899.0,land,industrial,Border,trapezoid,2,37572mts,6,0.28451318112559554,1959,,highway,23,2,4,C,NA,NA
11449.8,February-96,11858.1,flat,commercial,Center,trapezoid,2,21730,3,0.05115414189793044,1990,0.0,alley,15,3,1,,Yes,
10919.1,Sep-1975,7340.7,duplex,commercial,Center,trapezoid,2,13562mts,1,0.17225356321550156,1961,1972.0,street,24,4,4,,Yes,
9434.9,July-1998,1951.2,flat,residential,Outskirts,rectangle,1,78116,4,0.32779594729890404,1980,1988.0,highway,32,2,7,NA,No,NA
9926.5,September-03,3101.8,open land,residential,Border,irregular,3,32585,9,0.7622207883456306,1999,0.0,highway,85,2,7,F,NA,NA
2962.4,February-2003,10004.1,villa,residential,Border,irregular,1,30849,9,0.9702443006873056,1986,1997.0,street,51,1,3,NA,Yes,Yes
9719.9,August-1983,6971.1,flat,commercial,Outskirts,irregular,4,69890,7,0.00973625261432598,1966,1974.0,highway,79,5,4,,Yes,NA
3341.3,May-1977,2139.5,villa,residential,Center,rectangle,5,15534,3,0.9491714621428233,1967,1976.0,street,15,3,9,NA,Yes, No
10096.1,February-2002,8678.6,duplex,residential,Border,trapezoid,5,21608mts,2,0.137524177665025,1985,1994.0,highway,47,5,8,NA,No,NA
11042.6,November-2006,11237.7,land,commercial,Outskirts,trapezoid,2,78700,4,0.8733865527250916,1995,0.0,highway,99,5,10,C,NA,
9943.7,July-1975,7738.3,flat,residential,Center,irregular,3,7307mts,8,0.2266437072585037,1963,1974.0,alley,55,2,5,NA,No,
11638.3,October-06,9109.3,open land,residential,Center,trapezoid,5,20631mts,9,0.6799162162127554,1991,0.0,alley,34,5,8,C,NA,NA
17938.4,April-1991,10254.7,flat,commercial,Outskirts,trapezoid,4,78379mts,2,0.16100777114929832,1974,1983.0,highway,52,4,8,NA,No,NA
3209.5,October-1991,8478.6,villa,residential,Border,rectangle,3,33121,5,0.5210536302456702,1984,0.0,street,88,5,1,NA,Yes,Yes
10199.6,February-1999,7764.9,flat,residential,Outskirts,trapezoid,5,78950,2,0.4626515933049351,1983,1991.0,highway,9,2,2,NA,Yes,NA
10077.1,August-1999,10904.6,flat,residential,Outskirts,trapezoid,3,59242mts,8,0.8181532062485996,1990,0.0,highway,17,3,5,,No,NA
9841.4,February-1979,10455.9,duplex,commercial,Outskirts,trapezoid,1,53283mts,2,0.5285571828406572,1968,1976.0,highway,78,2,1,NA,No,NA
10907.7,July-2007,10293.1,duplex,residential,Center,trapezoid,5,19923,6,0.6268818822423234,2004,0.0,street,90,2,9,NA,No,NA
10059.4,October-1973,6508.8,open land,industrial,Outskirts,rectangle,1,76114,9,0.27972921460182054,1968,0.0,highway,60,2,1,F,NA,NA
10483.9,October-1991,5558.6,flat,residential,Center,trapezoid,4,6355mts,2,0.6585955842536091,1972,1981.0,alley,2,3,2,,No,NA
10448.8,March-1976,9723.3,open land,industrial,Border,rectangle,4,29230,9,0.3815089699768779,1968,,highway,59,4,3,F,NA,NA
9702.2,December-1986,2707.1,duplex,residential,Center,irregular,5,9087,7,0.08442625136200144,1983,0.0,street,91,1,7,,No,NA
10676.6,December-1996,11230.9,duplex,commercial,Outskirts,trapezoid,3,75587,9,0.97480415659815,1979,1987.0,highway,16,3,3,NA,Yes,NA
3066.0,September-1995,10471.6,villa,residential,Border,irregular,5,26909mts,9,0.8949045633265419,1995,0.0,highway,41,5,4,,Yes,Yes
10687.1,June-1987,4075.9,duplex,residential,Center,trapezoid,5,15246mts,9,0.06520884672748539,1973,1982.0,alley,30,2,10,NA,Yes,NA
10557.4,September-1976,8338.2,flat,commercial,Center,trapezoid,5,23227mts,6,0.3365501963476777,1969,0.0,alley,84,3,9,NA,No,NA
9796.4,February-1996,7060.7,duplex,residential,Outskirts,irregular,1,64996,4,0.5930948378094675,1990,0.0,highway,95,3,2,NA,Yes,
9880.5,August-1984,4900.3,flat,commercial,Outskirts,trapezoid,2,65303,4,0.8893898970896625,1968,1978.0,highway,32,1,4,,Yes,NA
17350.6,April-1975,2947.6,flat,residential,Outskirts,rectangle,5,77605,8,0.5257139048313796,1965,1976.0,highway,82,3,3,NA,Yes,
9357.7,June-1970,6923.5,duplex,residential,Outskirts,trapezoid,3,50810,4,0.02105423309639498,1954,1963.0,highway,90,5,4,NA,No,NA
3217.7,November-2001,7676.6,villa,residential,Outskirts,rectangle,1,59198,4,0.6287382273456043,1982,1990.0,highway,5,5,7,NA,Yes, No
10516.8,January-2007,3185.6,open land,industrial,Border,rectangle,4,39706,8,0.7943073548455716,1988,,highway,52,4,10,F,NA,
2135.1,July-1991,1578.9,villa,residential,Outskirts,irregular,4,57622mts,10,0.48737802473614245,1976,1987.0,highway,22,3,7,,Yes, No
10901.0,September-1979,9974.3,flat,residential,Center,trapezoid,1,23675mts,9,0.27375344355700504,1968,1977.0,alley,13,4,3,NA,Yes,
10073.8,August-1982,9824.2,duplex,commercial,Outskirts,trapezoid,3,55574,10,0.8160084522293753,1965,1975.0,highway,8,3,8,NA,No,
11002.9,Nov-1991,11216.1,flat,commercial,Center,rectangle,2,15861,2,0.33020140192979475,1981,1991.0,street,51,5,1,NA,No,NA
11275.9,July-2000,9510.6,flat,commercial,Center,trapezoid,2,15728mts,4,0.9858948797663659,1983,1991.0,street,4,2,4,NA,Yes,NA
10153.7,March-1993,10116.7,land,residential,Outskirts,trapezoid,1,59507,10,0.3008159434447042,1974,0.0,highway,98,2,2,C,NA,NA
10624.3,August-2001,2611.8,land,residential,Outskirts,rectangle,5,58382mts,3,0.6640147162810598,1995,0.0,highway,17,5,6,F,NA,NA
19257.2,April-05,10257.6,duplex,commercial,Center,irregular,5,9525mts,4,0.559382415428188,2003,0.0,alley,51,3,6,,Yes,
9617.9,December-1988,5993.1,duplex,commercial,Border,trapezoid,4,26544mts,7,0.11811199968006614,1973,1984.0,highway,41,1,4,NA,No,NA
3365.6,August-1999,6924.8,villa,residential,Center,irregular,5,23621,7,0.8949411959626122,1985,1993.0,street,34,2,4,,Yes, No
9841.9,July-1987,7484.2,duplex,commercial,Outskirts,rectangle,1,52762mts,2,0.17041697124133703,1969,1978.0,highway,66,1,7,,No,
11270.3,July-1987,11535.4,duplex,commercial,Center,trapezoid,3,13328,4,0.46182599940911606,1970,1981.0,street,30,2,5,NA,Yes,
11521.7,May-99,10891.1,duplex,residential,Center,trapezoid,1,10674mts,9,0.837689580366155,1999,0.0,alley,4,4,6,NA,Yes,NA
11312.0,October-2006,1793.5,open land,residential,Center,rectangle,4,20073,10,0.02918282658525506,2006,,alley,13,3,9,F,NA,
10561.7,May-76,7381.8,duplex,commercial,Center,trapezoid,2,7423,9,0.615938083435266,1969,0.0,alley,65,2,10,,No,NA
10000.7,January-1999,1959.5,duplex,commercial,Border,rectangle,5,20103,3,0.3199165194516159,1992,0.0,street,81,4,8,NA,No,NA
2841.8,September-1988,2838.3,villa,residential,Outskirts,rectangle,1,78857,9,0.554659235436985,1978,1986.0,highway,6,5,9,NA,Yes,Yes
9251.8,September-1973,4846.6,duplex,residential,Border,trapezoid,2,37395,7,0.11987616008685309,1964,0.0,highway,29,3,1,NA,No,
10006.2,August-72,9356.6,open land,residential,Outskirts,irregular,2,57937,3,0.8765581714362949,1957,0.0,highway,57,2,2,F,NA,
11296.2,December-1991,4753.2,open land,residential,Center,rectangle,1,11973,2,0.7562540334675205,1984,0.0,alley,29,5,4,C,NA,NA
9667.6,January-99,884.7,duplex,commercial,Border,trapezoid,4,28434mts,6,0.09285344837083054,1985,1996.0,street,54,2,8,,No,
10039.4,November-2005,5388.7,duplex,residential,Border,irregular,1,26732mts,4,0.004704242821221061,1991,2000.0,street,33,3,6,NA,Yes,NA
10080.5,Dec-1982,3033.0,land,residential,Outskirts,rectangle,5,57306,8,0.3724603481980633,1975,0.0,highway,72,4,3,F,NA,NA
10489.0,Feb-1977,8771.8,duplex,commercial,Border,rectangle,5,34821,8,0.51801859257246,1971,0.0,street,3,1,1,NA,Yes,
10363.8,January-1989,3762.5,open land,residential,Center,irregular,4,4723mts,5,0.19402724781460856,1976,,street,98,1,2,F,NA,NA
10775.7,December-92,9879.2,duplex,residential,Center,irregular,4,17781,9,0.45648491024852034,1981,1989.0,street,76,5,3,NA,Yes,NA
2884.8,December-1994,3792.4,villa,residential,Border,rectangle,2,25603,3,0.7635990915319228,1989,0.0,highway,69,5,5,,Yes,Yes
9570.7,November-06,6842.1,flat,commercial,Border,irregular,5,38973mts,7,0.6711472216965363,1988,1999.0,highway,89,3,2,NA,No,NA
2936.2,Jan-1974,1655.9,villa,residential,Center,trapezoid,3,9410,5,0.2541060610874639,1955,1964.0,street,12,3,7,NA,Yes, No
3126.0,July-01,7945.2,villa,residential,Outskirts,rectangle,1,50317,4,0.05226582694568416,1991,1999.0,highway,43,2,9,,Yes,Yes
10234.9,January-1973,3207.6,flat,commercial,Center,trapezoid,4,8596,6,0.6794774988617905,1972,0.0,street,6,3,6,NA,No,NA
3083.3,February-1991,1641.5,villa,residential,Center,irregular,2,23508,1,0.9823339916062328,1975,1985.0,street,1,1,4,NA,Yes,Yes
2654.0,August-1997,4810.5,villa,residential,Border,irregular,4,33445mts,8,0.6134635011889341,1994,0.0,highway,4,4,10,NA,Yes, No
3202.7,August-1971,3198.2,villa,residential,Center,rectangle,5,15773,5,0.5069277949845038,1961,1970.0,street,17,1,3,,Yes,Yes
9665.6,March-1996,5831.4,duplex,residential,Border,irregular,4,31691,2,0.8731529554719293,1986,1994.0,street,91,3,7,NA,No,NA
3250.7,November-1978,946.1,villa,residential,Center,rectangle,1,24755,3,0.6037717816657076,1970,0.0,street,38,3,9,,Yes,Yes
9082.0,September-97,3602.9,duplex,residential,Border,irregular,5,34304mts,10,0.24298375414665518,1989,0.0,highway,91,1,6,,No,
10789.0,May-1991,10234.4,open land,commercial,Border,rectangle,4,31290,5,0.7595886439938203,1975,0.0,highway,29,1,7,C,NA,NA
18583.3,April-1997,6241.8,duplex,commercial,Center,irregular,4,10134mts,6,0.2859546050654871,1986,1994.0,alley,98,3,2,,Yes,NA
10462.8,Jul-1987,5309.0,open land,commercial,Outskirts,trapezoid,1,71690,3,0.20333263862306805,1975,0.0,highway,53,4,9,F,NA,NA
9759.8,January-2009,7004.1,flat,commercial,Outskirts,irregular,5,77225,4,0.9026643654201548,1992,2000.0,highway,37,1,2,,No,NA
2814.1,Oct-2004,3456.5,villa,residential,Outskirts,rectangle,5,75444,1,0.2975788748478533,1995,0.0,highway,63,3,4,NA,Yes, No
10648.6,August-00,10044.2,open land,industrial,Border,trapezoid,5,27353mts,8,0.9471013913259352,1999,0.0,highway,26,2,2,C,NA,NA
10254.9,October-90,7380.0,duplex,commercial,Border,trapezoid,3,37530,3,0.8526164241041921,1977,1988.0,highway,57,2,4,NA,Yes,
10864.5,February-1991,2854.8,duplex,commercial,Center,rectangle,4,24417,4,0.6796739133176382,1975,1985.0,street,81,3,9,NA,Yes,
3385.6,Jun-2002,2766.0,villa,residential,Center,trapezoid,5,17673mts,9,0.2949779484905737,1990,2001.0,alley,73,3,8,,Yes, No
9999.7,October-1978,5599.7,open land,industrial,Border,rectangle,4,20484,5,0.0722263773425108,1965,,highway,62,1,10,C,NA,NA
9831.9,July-1976,11254.1,flat,commercial,Border,irregular,4,30842,4,0.8970241249209155,1970,0.0,highway,53,5,6,,No,NA
9887.7,October-2003,8704.6,flat,residential,Outskirts,irregular,2,55393,6,0.1722340109491386,1984,1992.0,highway,80,3,10,NA,Yes,NA
10840.4,March-1990,6142.8,flat,residential,Center,rectangle,2,23186,10,0.30472840693157466,1985,0.0,alley,89,4,10,,Yes,NA
11298.5,December-1998,10935.5,duplex,residential,Center,trapezoid,3,8987,9,0.10755402434203865,1996,0.0,alley,85,4,10,NA,Yes,
9987.0,September-1973,2690.6,land,residential,Outskirts,rectangle,5,60128mts,8,0.5028671819392737,1961,,highway,57,5,1,F,NA,
10288.6,July-1993,5969.5,flat,commercial,Border,trapezoid,2,26295,5,0.31371559284382045,1991,0.0,street,62,4,5,NA,Yes,NA
9553.7,Aug-1978,2728.8,duplex,commercial,Border,trapezoid,4,39333,2,0.045289215892975965,1972,0.0,street,68,3,2,,No,NA
10756.1,February-82,3035.6,open land,residential,Center,rectangle,2,18871mts,6,0.854440930534399,1963,0.0,street,36,2,8,C,NA,NA
2552.3,February-1976,9778.7,villa,residential,Border,irregular,2,25620,10,0.23651553286062998,1968,0.0,street,48,2,8,NA,Yes, No
9398.1,Aug-1983,1961.6,flat,residential,Outskirts,rectangle,2,78939,9,0.9584601043589129,1979,0.0,highway,56,4,9,NA,No,NA
18869.0,April-1971,6913.9,open land,residential,Center,rectangle,1,13477,1,0.833624049145472,1965,0.0,street,79,5,8,C,NA,NA
10155.0,December-1981,1740.8,flat,commercial,Center,trapezoid,2,10695,1,0.8974764596601869,1963,1971.0,alley,92,4,5,NA,No,
9122.6,September-1977,2841.0,duplex,residential,Border,irregular,3,35399,5,0.9020296853223477,1971,0.0,street,86,2,5,NA,No,NA
10380.4,Jul-1997,11515.2,duplex,commercial,Border,irregular,3,29933,1,0.7923859007245321,1988,0.0,street,45,4,5,NA,No,NA
12041.6,April-2002,11992.2,villa,residential,Center,irregular,2,2919mts,1,0.8005244427442204,2002,0.0,alley,12,2,9,,Yes,Yes
3344.6,July-1976,6160.0,villa,residential,Center,trapezoid,5,22531mts,3,0.24566496856401443,1968,0.0,street,2,3,1,NA,Yes, No
17487.1,April-1974,5702.5,duplex,residential,Outskirts,irregular,4,61466mts,3,0.7904381393789554,1963,1974.0,highway,50,3,7,NA,Yes,NA
9865.4,November-2003,10738.4,duplex,residential,Border,irregular,4,36554mts,6,0.1363583821368748,1996,0.0,street,94,1,6,,No,
11010.2,April-1981,10633.1,villa,residential,Outskirts,rectangle,2,71430,10,0.6246686255894297,1965,1975.0,highway,3,5,1,,Yes,Yes
10235.2,October-1976,11179.3,flat,residential,Center,trapezoid,2,13909,7,0.019328945013744936,1963,1974.0,street,87,1,10,NA,No,NA
9788.0,September-2009,2614.4,flat,commercial,Border,irregular,5,33409,3,0.070378409429104,2003,0.0,street,96,1,2,NA,Yes,NA
11224.8,January-2005,3870.4,open land,industrial,Center,rectangle,3,20293,8,0.2848344588109595,2004,,street,1,2,9,C,NA,NA
9973.2,September-1977,836.5,flat,residential,Center,irregular,4,5901,3,0.7323876738635586,1965,1976.0,street,7,2,4,NA,Yes,
9899.8,August-1994,3368.7,flat,commercial,Outskirts,irregular,5,58875mts,2,0.9875961158981147,1976,1986.0,highway,53,5,7,NA,Yes,NA
9569.8,August-1991,4526.5,duplex,residential,Outskirts,rectangle,2,63426,5,0.35785904439764593,1984,0.0,highway,84,2,7,NA,No,NA
10235.9,May-71,5622.6,land,residential,Outskirts,rectangle,1,77693,3,0.5058672388472507,1971,0.0,highway,90,5,6,F,NA,NA
10781.9,April-1991,10629.5,villa,residential,Border,irregular,1,33021,1,0.64973669169211,1979,1990.0,highway,49,3,9,,Yes,Yes
10642.5,January-1978,7235.3,duplex,commercial,Border,rectangle,5,33619,3,0.20850032042899003,1971,0.0,street,16,4,10,NA,Yes,NA
10354.2,August-86,8902.1,flat,residential,Center,irregular,4,23118,4,0.7963510151599582,1984,0.0,alley,48,1,6,NA,No,NA
11029.4,August-2009,9272.6,duplex,commercial,Center,trapezoid,5,17709,7,0.35183169650810997,1992,2003.0,street,83,4,9,NA,No,NA
10639.8,October-1998,5562.3,duplex,residential,Center,irregular,1,18469mts,9,0.32336999211493755,1988,1999.0,alley,14,1,7,NA,Yes,
9758.3,March-07,1079.2,duplex,residential,Border,rectangle,3,28200mts,1,0.17578762464035003,2006,0.0,highway,45,4,6,NA,No,NA
10519.9,December-73,9824.2,open land,industrial,Outskirts,trapezoid,1,76328mts,7,0.289797576311862,1961,0.0,highway,0,4,10,F,NA,
2976.5,July-2005,6955.8,villa,residential,Border,irregular,5,33447,4,0.310373383731258,2000,0.0,street,39,5,3,,Yes, No
2323.1,Feb-1995,5987.7,villa,residential,Outskirts,irregular,2,61657,10,0.7440552591433022,1985,1995.0,highway,94,3,5,NA,Yes, No
9577.4,May-1976,8306.3,flat,residential,Outskirts,trapezoid,3,76669mts,5,0.5278694947057879,1975,0.0,highway,59,2,10,NA,No,NA
12137.6,March-02,11851.8,open land,industrial,Center,rectangle,5,22281,2,0.8243767439714985,2001,0.0,alley,6,2,8,F,NA,NA
10739.3,July-1972,6812.6,flat,commercial,Center,trapezoid,5,23811,7,0.6331902372363216,1967,0.0,alley,81,4,1,,Yes,NA
3369.9,August-07,6747.4,villa,residential,Border,trapezoid,2,26321,1,0.7140400480727987,1992,2000.0,street,36,5,5,NA,Yes,Yes
10251.9,October-1983,5634.2,duplex,commercial,Outskirts,trapezoid,4,77120,7,0.11220620260999237,1969,1979.0,highway,1,5,7,NA,Yes,NA
18139.7,Apr-1992,3942.0,open land,commercial,Border,trapezoid,5,36704,5,0.0166072039368258,1983,0.0,highway,63,4,10,C,NA,NA
11757.3,Aug-1993,9999.6,open land,commercial,Center,rectangle,3,24909,1,0.39432102822393056,1981,,alley,44,1,4,F,NA,NA
2683.0,February-1971,9336.8,villa,residential,Border,rectangle,2,33962,9,0.6100295442831783,1967,0.0,highway,24,1,4,,Yes, No
10452.9,September-90,4933.9,flat,residential,Center,rectangle,4,11760,7,0.30232693442046943,1983,0.0,alley,19,1,8,,No,
9816.9,November-1979,4751.4,open land,commercial,Outskirts,irregular,3,67840,10,0.38499840758971227,1966,,highway,48,2,8,C,NA,
